ep_idx,data_cond_log_likelihood,data_mi_learned_marginal,data_mi_mc_marginal,data_mi_infonce,model_neg_cond_entropy,model_mi_reference_prior,model_mi_mc_marginal,model_mi_infonce,neg_h_data_cond,neg_h_model_cond,mi_data_direct,mi_data_mc_marginal,mi_model_direct,mi_model_mc_marginal
13,36.76524539969184,36.897050109776586,1180.1948994398117,6.226218358258546,33.88753638484261,34.009898635474116,1184.3324389322238,6.222939549470497,36.76524539969184,33.88753638484261,36.897050109776586,1180.1948994398117,34.009898635474116,1184.3324389322238
14,37.11568943751341,37.2129986603136,1002.8926285098743,6.233658184627491,33.88102309276603,33.96148696524559,1008.0956406221225,6.230175292390569,37.11568943751341,33.88102309276603,37.2129986603136,1002.8926285098743,33.96148696524559,1008.0956406221225
15,36.772763244288875,37.863832521571425,936.6690329549041,6.220202256544676,33.666415222508,34.75462120821217,935.791843192491,6.210178828696818,36.772763244288875,33.666415222508,37.863832521571425,936.6690329549041,34.75462120821217,935.791843192491
16,-281.46446492479373,-281.53467799295623,313.7881057561274,-138.9010461202236,33.89381517075562,33.805013677868004,647.5214870978863,6.232901330806312,-281.46446492479373,33.89381517075562,-281.53467799295623,313.7881057561274,33.805013677868004,647.5214870978863
17,37.18055986494739,37.50757994160347,836.5076455405828,6.228103526736453,33.921979208178506,34.232885822944326,835.55767552235,6.224126942744911,37.18055986494739,33.921979208178506,37.50757994160347,836.5076455405828,34.232885822944326,835.55767552235
18,37.16417527129685,36.96354052778604,641.3936943883481,6.23099971213436,33.84964273977971,33.63283947377965,641.4173249327619,6.231253709080219,37.16417527129685,33.84964273977971,36.96354052778604,641.3936943883481,33.63283947377965,641.4173249327619
19,37.13890838623047,37.92473918946673,899.0144703474549,6.224041129207281,33.921754720151256,34.69105494719694,897.5166702987756,6.223899775830672,37.13890838623047,33.921754720151256,37.92473918946673,899.0144703474549,34.69105494719694,897.5166702987756
20,37.03724229963202,37.46263818991812,533.1403076460487,6.212269924720561,33.82311974073711,34.236773359148124,533.8510680339838,6.200546432083499,37.03724229963202,33.82311974073711,37.46263818991812,533.1403076460487,34.236773359148124,533.8510680339838
21,-701.0986727127457,-700.0488331749578,224.23781874717776,-354.1593436459234,33.830863272579265,34.628866349754226,845.0317850750469,6.2298055504514815,-701.0986727127457,33.830863272579265,-700.0488331749578,224.23781874717776,34.628866349754226,845.0317850750469
22,37.19364372066321,36.67506685179001,493.15764271271,6.2257076700758,33.90960284864545,33.38158632429159,502.46292299535685,6.222549898074789,37.19364372066321,33.90960284864545,36.67506685179001,493.15764271271,33.38158632429159,502.46292299535685
23,37.07062020678611,36.89632687581658,424.2401701799855,6.230523423586553,33.9118590549812,33.724125376189434,424.1040750017608,6.228513546915562,37.07062020678611,33.9118590549812,36.89632687581658,424.2401701799855,33.724125376189434,424.1040750017608
24,37.22107917384098,37.805026088725164,663.2528945838316,6.228975117980062,33.91948257192681,34.48576944092304,663.3508576316516,6.226422762707879,37.22107917384098,33.91948257192681,37.805026088725164,663.2528945838316,34.48576944092304,663.3508576316516
25,37.255659982059775,36.78491787428266,855.6448817199536,6.232396909375342,33.86257237530826,33.37820688526282,857.0500113160423,6.2314133343542295,37.255659982059775,33.86257237530826,36.78491787428266,855.6448817199536,33.37820688526282,857.0500113160423
26,37.04428183878423,38.13751367573898,814.5498185958666,6.217145537355838,33.8557655472472,34.93966670861848,808.9946078551832,6.226748762313631,37.04428183878423,33.8557655472472,38.13751367573898,814.5498185958666,34.93966670861848,808.9946078551832
27,37.06017908429175,38.128134930893324,998.5054507902785,6.234482984521955,33.86900892284108,34.91957479566749,997.0710092528706,6.234375393631649,37.06017908429175,33.86900892284108,38.128134930893324,998.5054507902785,34.91957479566749,997.0710092528706
28,37.088880592218324,37.463822284890284,568.7595919816854,6.2182080795639125,33.88354707430195,34.24075117057928,569.0465808181124,6.211175567377728,37.088880592218324,33.88354707430195,37.463822284890284,568.7595919816854,34.24075117057928,569.0465808181124
29,37.21595325628476,37.00527860055009,406.20066726240753,6.236403451023618,33.87092709211101,33.64648524677985,416.4818332228304,6.236404134854912,37.21595325628476,33.87092709211101,37.00527860055009,406.20066726240753,33.64648524677985,416.4818332228304
30,36.77923007309437,37.683894003431,966.3011957804362,6.215243806900763,33.67105887333552,34.564728781580925,972.8986277865866,6.212301175601458,36.77923007309437,33.67105887333552,37.683894003431,966.3011957804362,34.564728781580925,972.8986277865866
31,36.7707832755381,37.304546824769474,1004.8549503811522,6.230018180319521,33.834398666558236,34.34897838438177,1001.8017171269896,6.226699354407743,36.7707832755381,33.834398666558236,37.304546824769474,1004.8549503811522,34.34897838438177,1001.8017171269896
32,37.27163173412455,37.27775261319917,544.6073194207817,6.227968620304853,33.90877708895453,33.90613238016764,545.7116121259229,6.2210349680081425,37.27163173412455,33.90877708895453,37.27775261319917,544.6073194207817,33.90613238016764,545.7116121259229
33,36.89652304555855,37.324748918121934,718.2473440944982,6.218906314227016,33.771342990779075,34.193399343837875,720.2241238212051,6.2214380626477865,36.89652304555855,33.771342990779075,37.324748918121934,718.2473440944982,34.193399343837875,720.2241238212051
34,-270.1706210148799,-270.4267277606122,230.56052580003615,-75.04001069104278,33.8130370994667,33.68992871371182,456.64804809000583,6.208088934873038,-270.1706210148799,33.8130370994667,-270.4267277606122,230.56052580003615,33.68992871371182,456.64804809000583
35,37.03418284941485,36.966885291318846,710.7800628896703,6.229219435355079,33.81056317416105,33.73194366087888,714.6034373076842,6.224402062319903,37.03418284941485,33.81056317416105,36.966885291318846,710.7800628896703,33.73194366087888,714.6034373076842
36,-152.52020418376065,-152.55158076527414,345.64520075347986,-27.36956695307624,33.90640724910779,33.9131665658415,482.78132895137486,6.238314949749644,-152.52020418376065,33.90640724910779,-152.55158076527414,345.64520075347986,33.9131665658415,482.78132895137486
37,37.09374665423651,37.79618104123279,754.1696672650332,6.2322164932803865,33.86088365481045,34.54738845614438,755.6351664988375,6.230713637540203,37.09374665423651,33.86088365481045,37.79618104123279,754.1696672650332,34.54738845614438,755.6351664988375
38,36.984144184470836,37.27780705657453,687.3354235116948,6.187117178929532,33.88527957642276,34.16733792868767,691.7844948979373,6.192194473331135,36.984144184470836,33.88527957642276,37.27780705657453,687.3354235116948,34.16733792868767,691.7844948979373
39,37.128898559078095,37.25070311247079,568.2292448306713,6.226822566182956,33.90845876005738,34.01452757536141,566.960949569154,6.2204695964307515,37.128898559078095,33.90845876005738,37.25070311247079,568.2292448306713,34.01452757536141,566.960949569154
40,36.99057788104266,38.43216739688908,1348.2418388045944,6.225471449204745,33.85742103301727,35.2785379106218,1342.5582100364181,6.222101266907564,36.99057788104266,33.85742103301727,38.43216739688908,1348.2418388045944,35.2785379106218,1342.5582100364181
41,37.231249448548944,36.9698125117801,640.6402344678968,6.234890708557642,33.91307513083819,33.64003860888703,648.7287958360089,6.231534589607872,37.231249448548944,33.91307513083819,36.9698125117801,640.6402344678968,33.64003860888703,648.7287958360089
42,37.15735326256863,37.225981523824295,515.1853958950486,6.2253574836647685,33.888711962589,33.94621765890787,514.6790939763534,6.219674350228353,37.15735326256863,33.888711962589,37.225981523824295,515.1853958950486,33.94621765890787,514.6790939763534
43,37.206492146169104,37.26555592494374,529.3551972857298,6.231549461422337,33.88590725075229,33.93474563338312,534.5207291475431,6.225383182951718,37.206492146169104,33.88590725075229,37.26555592494374,529.3551972857298,33.93474563338312,534.5207291475431
44,36.99156176287602,36.85931199410891,461.09161558468173,6.224629437544903,33.81292727490566,33.66660361275572,468.4365482056609,6.219184195724158,36.99156176287602,33.81292727490566,36.85931199410891,461.09161558468173,33.66660361275572,468.4365482056609
